fx|fy|penalty|alpha|iter|ee|ev|verdaderos_negativos|falsos_negativos|falsos_positivos|verdaderos_positivos
mean area|worst concavity|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst concavity|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|None|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|1e-05|1000|0.8125|0.8402366863905325|133|13|62|192
mean area|worst perimeter|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|worst perimeter|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|1e-05|1000|0.8425|0.8757396449704142|129|17|46|208
mean area|worst perimeter|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|0.001|1000|0.8675|0.9053254437869822|101|45|8|246
mean area|worst perimeter|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|1e-05|1000|0.8425|0.8757396449704142|129|17|46|208
mean area|worst perimeter|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|0.001|1000|0.8675|0.9053254437869822|101|45|8|246
mean area|worst perimeter|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst perimeter|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|1e-05|100|0.7025|0.6923076923076923|143|3|116|138
mean area|mean symmetry|None|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|0.001|100|0.7025|0.6923076923076923|143|3|116|138
mean area|mean symmetry|None|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|0.1|100|0.7025|0.6923076923076923|143|3|116|138
mean area|mean symmetry|None|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|None|10.0|100|0.7025|0.6923076923076923|143|3|116|138
mean area|mean symmetry|None|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|mean symmetry|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|1e-05|1000|0.8525|0.893491124260355|120|26|33|221
mean area|mean symmetry|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|1e-05|1000|0.8525|0.893491124260355|120|26|33|221
mean area|mean symmetry|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean symmetry|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|None|1e-05|10|0.61|0.5621301775147929|139|7|149|105
mean area|mean texture|None|1e-05|100|0.4775|0.47337278106508873|146|0|209|45
mean area|mean texture|None|1e-05|1000|0.5775|0.5384615384615384|143|3|166|88
mean area|mean texture|None|0.001|10|0.61|0.5621301775147929|139|7|149|105
mean area|mean texture|None|0.001|100|0.4775|0.47337278106508873|146|0|209|45
mean area|mean texture|None|0.001|1000|0.5775|0.5384615384615384|143|3|166|88
mean area|mean texture|None|0.1|10|0.61|0.5621301775147929|139|7|149|105
mean area|mean texture|None|0.1|100|0.4775|0.47337278106508873|146|0|209|45
mean area|mean texture|None|0.1|1000|0.5775|0.5384615384615384|143|3|166|88
mean area|mean texture|None|10.0|10|0.61|0.5621301775147929|139|7|149|105
mean area|mean texture|None|10.0|100|0.4775|0.47337278106508873|146|0|209|45
mean area|mean texture|None|10.0|1000|0.5775|0.5384615384615384|143|3|166|88
mean area|mean texture|l1|1e-05|10|0.61|0.5621301775147929|139|7|149|105
mean area|mean texture|l1|1e-05|100|0.7475|0.8106508875739645|58|88|13|241
mean area|mean texture|l1|1e-05|1000|0.57|0.514792899408284|143|3|169|85
mean area|mean texture|l1|0.001|10|0.44|0.46745562130177515|146|0|224|30
mean area|mean texture|l1|0.001|100|0.7425|0.7810650887573964|50|96|7|247
mean area|mean texture|l1|0.001|1000|0.5725|0.5207100591715976|143|3|168|86
mean area|mean texture|l1|0.1|10|0.5375|0.5029585798816568|144|2|183|71
mean area|mean texture|l1|0.1|100|0.72|0.7692307692307693|41|105|7|247
mean area|mean texture|l1|0.1|1000|0.5375|0.5088757396449705|144|2|183|71
mean area|mean texture|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|mean texture|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|1e-05|10|0.4375|0.46745562130177515|146|0|225|29
mean area|mean texture|l2|1e-05|100|0.74|0.7869822485207101|51|95|9|245
mean area|mean texture|l2|1e-05|1000|0.5225|0.47928994082840237|145|1|190|64
mean area|mean texture|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|1e-05|10|0.4375|0.46745562130177515|146|0|225|29
mean area|mean texture|elasticnet|1e-05|100|0.74|0.7869822485207101|51|95|9|245
mean area|mean texture|elasticnet|1e-05|1000|0.5225|0.47928994082840237|145|1|190|64
mean area|mean texture|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean texture|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|None|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|0.001|1000|0.86|0.8994082840236687|120|26|30|224
mean area|worst smoothness|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|worst smoothness|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|1e-05|1000|0.8525|0.893491124260355|120|26|33|221
mean area|worst smoothness|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|1e-05|1000|0.8525|0.893491124260355|120|26|33|221
mean area|worst smoothness|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst smoothness|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|1e-05|1000|0.705|0.7692307692307693|105|41|77|177
mean area|worst area|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|0.001|1000|0.705|0.7692307692307693|105|41|77|177
mean area|worst area|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|0.1|1000|0.705|0.7692307692307693|105|41|77|177
mean area|worst area|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|None|10.0|1000|0.705|0.7692307692307693|105|41|77|177
mean area|worst area|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|1e-05|1000|0.72|0.7751479289940828|102|44|68|186
mean area|worst area|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|0.1|1000|0.715|0.7751479289940828|105|41|73|181
mean area|worst area|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|worst area|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst area|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|None|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|0.001|1000|0.86|0.8994082840236687|120|26|30|224
mean area|worst fractal dimension|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|worst fractal dimension|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|1e-05|1000|0.8525|0.893491124260355|120|26|33|221
mean area|worst fractal dimension|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|1e-05|1000|0.8525|0.893491124260355|120|26|33|221
mean area|worst fractal dimension|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|worst fractal dimension|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|None|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|0.001|1000|0.85|0.893491124260355|122|24|36|218
mean area|mean concave points|l1|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l1|10.0|100|0.6375|0.6153846153846154|1|145|0|254
mean area|mean concave points|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|1e-05|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|0.001|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean area|mean concave points|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
